Provincia,Diseño institucional,Cámara,Apellido,Nombre,Bloque,Período,Género
Buenos Aires,Bicameral,Diputados,Abad,Maximiliano,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Pascualin,Julio,Juntos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Panebianco,Johanna Pamela,Juntos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Otermin,Federico,Frente de todos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Olivetto,Micaela Edith,Frente de todos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Natalí,Lorenzo Juan,Juntos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Moreno,Carlos Julio,Juntos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Moragues,Santos Constanza,Frente de todos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Molle,Matias,Avanza Libertad,2021-2025,M
Buenos Aires,Bicameral,Diputados,Molina,Martiniano,Frente de todos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Miranda,Valentin,Juntos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Mignaquy,Javier Carlos,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Mesias,Nazarena Carla,Frente de todos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Malpeli,Juan mMartín,Frente de todos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Lorden,María Alejandra,Juntos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Lopez,Roxana Alejandra,Juntos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Lipovetzky,Daniel Andrés,Frente de todos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Laroque del Caro,Berenice Ivana,Juntos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Larroque,Mariana,Frente de todos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Klug,Lucía Lorena,Frente de todos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Passaglia,Ismael Santiago,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Peralta,Ramos Anastasia,Juntos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Perechodnik,Fabián,Frente de todos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Perez,Juan José,Frente de todos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Zuccari,Vanesa,Juntos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Viviani,Mauricio Andrés,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Valicenti,Cesar Daniel,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Urrelli,Adrián Gonzalo,Frente de todos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Sotelo Larcher,Nahuel,Juntos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Siciliano,Sergio Hernán,Avanza Libertad,2021-2025,M
Buenos Aires,Bicameral,Diputados,Sanchez Jauregui,Natalia Andrea,Juntos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Salbitano,Nora Rosana,Frente de todos,2019-2023,F
Buenos Aires,Bicameral,Diputados,RUSSO,Nicolás,Frente de todos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Kane,Guillermo,Frente de todos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Ruiz,Noelia Florencia,Frente de todos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Rossi,José Ignasio,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Rossi,Claudio Alberto,Frente de todos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Rolleri,Ricardo Luis,Juntos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Ricchini,Maria Laura,Frente de todos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Retamoso,María Florencia,Juntos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Rasquetti,Ayelén Itatí,Juntos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Ranzini,Matias Fernando,Frente de todos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Quntero Chasman,Julieta Elizabeth,Juntos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Pugleelli,Carlos Javier,Juntos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Rovello,Fernando,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Indarte,Débora Silvina,Frente de Izquierda de los Trabajadores,2021-2025,F
Buenos Aires,Bicameral,Diputados,Padulo,Luciana,Juntos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Guzzo,Viviana Raquel,Frente de todos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Carusso,Walter Héctor,Cambio Federal,2019-2023,M
Buenos Aires,Bicameral,Diputados,Carrara,Juan Bautista María,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Campbell,Alexander Malcolm,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Calderón,Graciela Beatriz,Izq. Socialista en Fte.Izq-Unid,2021-2025,F
Buenos Aires,Bicameral,Diputados,Bustos,Maria Paula,Juntos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Buitagro,Catalina Maria,Juntos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Bugallo Di Prinzio,Luciano David,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Brunelli,Naldo Raúl Adalberto,Frente de todos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Brizzi,María Eugenia,Juntos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Cascallares,Mariano,Frente de todos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Britos,Favio Gustavo,17 de Noviembre,2019-2023,M
Buenos Aires,Bicameral,Diputados,Bevilaccua,Maria Fernanda,Frente de todos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Barbieri,Verónica Mabel,Juntos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Balbin,Emiliano,Juntos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Archanco,Juan Ariel,Frente de todos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Arata,María Valeria,Frente de todos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Iañez,Lucía,Frente de todos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Alvarado,Maite Milagros,Frente de todos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Alonso,Soledad Aantonia,Frente de todos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Abarca,Walter Jose,Frente de todos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Bilbao,Anahí Silvina,Juntos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Casatello,Guillermo Ricardo,Avanza Libertad,2021-2025,M
Buenos Aires,Bicameral,Diputados,Antonijevic,FERNANDA,Juntos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Conocchiari,Alberto Ruben,Frente de todos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Compagnoni,Fernando Matías,Juntos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Greco,Melisa Gisela,Frente de todos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Gonzalez,Susana Haydee,Frente de todos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Gomez Parodi,Juan Miguel,Frente de todos,2021-2025,M
Buenos Aires,Bicameral,Diputados,GOMEZ,Abigail Gabriela,Frente de todos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Galan,Débora Sabrina,Juntos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Frangul,Claudio Gustavo,Frente de todos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Faroni,Marcela Viviana,Juntos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Etchecoin,Moro Maricel,Frente de todos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Eslaiman,Hector Rubén,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Grana,Adrian Eduardo,Juntos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Dominguez Yelpo,Sergio Martín,Juntos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Domenichini,Pablo Matías,Cambio Federal,2019-2023,M
Buenos Aires,Bicameral,Diputados,Dirolli,Viviana Andrea,Juntos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Dichiara,Emrique Alejandro,Juntos,2021-2025,M
Buenos Aires,Bicameral,Diputados,Diaz,FERNANDA,Frente de todos,2021-2025,F
Buenos Aires,Bicameral,Diputados,Dicesare,German,Frente de todos,2021-2025,M
Buenos Aires,Bicameral,Diputados,De Jesus,Juan Pablo,Frente de todos,2019-2023,M
Buenos Aires,Bicameral,Diputados,Dziakowski,Natalia Lorena,Frente de todos,2019-2023,F
Buenos Aires,Bicameral,Diputados,Cubria,Patricia,Frente de todos,2019-2023,F
Catamarca,Bicameral,Diputados,Figueroa,Castellano Ramón,Frente de Todos,2019-2023,M
Catamarca,Bicameral,Diputados,Fernandez,Juana,Unión Cívica Radical,2019-2023,F
Catamarca,Bicameral,Diputados,Fedeli,Paola,Frente de Todos,2019-2023,F
Catamarca,Bicameral,Diputados,Fadel,Luis,Unión Cívica Radical,2021-2025,M
Catamarca,Bicameral,Diputados,Diaz,Adriana,Frente de Todos,2015-2021,F
Catamarca,Bicameral,Diputados,Denett,Juan,Frente de Todos,2021-2025,M
Catamarca,Bicameral,Diputados,Corpacci,Hugo,Frente de Todos,2019-2023,M
Catamarca,Bicameral,Diputados,Brizuela,Analía,Frente de Todos,2019-2023,F
Catamarca,Bicameral,Diputados,Castro,Pablo,Frente de Todos,2021-2025,M
Catamarca,Bicameral,Diputados,Carrizo,Silvana,Unión Cívica Radical,2021-2025,F
Catamarca,Bicameral,Diputados,Barros,Augusto,Frente de Todos,2019-2023,M
Catamarca,Bicameral,Diputados,Avila,Hugo,Unidad Ciudadana - Bloque Unipersonal,2021-2025,M
Catamarca,Bicameral,Diputados,Argerich,María,Frente de Todos,2021-2025,F
Catamarca,Bicameral,Diputados,Andrada,Laura Marina,Consenso Federal - Bloque Unipersonal,2019-2023,F
Catamarca,Bicameral,Diputados,Gambarella,Cynthia,Frente de Todos,2019-2023,F
Catamarca,Bicameral,Diputados,Andrada,Eduardo,Frente de Todos,2021-2025,M
Catamarca,Bicameral,Diputados,Cesarini,Enrique,Propuesta Republicana,2015-2021,M
Catamarca,Bicameral,Diputados,Gomez,Cristina,Unión Cívica Radical,2021-2025,F
Catamarca,Bicameral,Diputados,Palladino,Claudia,Frente de Todos,2021-2025,F
Catamarca,Bicameral,Diputados,Lobo Vergara,Luis,Unión Cívica Radical,2019-2023,M
Catamarca,Bicameral,Diputados,Andersch,Jorge,Frente de Todos,2019-2023,M
Catamarca,Bicameral,Diputados,Soria,Natalia,Frente de Todos,2015-2021,F
Catamarca,Bicameral,Diputados,Saseta,Natalia,Propuesta Republicana,2019-2023,F
Catamarca,Bicameral,Diputados,Paez,Alejandro,Unión Cívica Radical,2019-2023,M
Catamarca,Bicameral,Diputados,Puente,Tiago,Unión Cívica Radical,2019-2023,M
Catamarca,Bicameral,Diputados,Guerrero García,María Cecilia,Frente de Todos,2019-2023,F
Catamarca,Bicameral,Diputados,Pons,Alejandra,Unión Cívica Radical,2015-2021,F
Catamarca,Bicameral,Diputados,Ponferrada,Natalia,Frente de Todos,2019-2023,F
Catamarca,Bicameral,Diputados,Paz,Alicia,Unión Cívica Radical,2021-2025,F
Catamarca,Bicameral,Diputados,Nieva,Stella,Frente de Todos,2021-2025,F
Catamarca,Bicameral,Diputados,Murua,Marcelo,Frente de Todos,2015-2021,M
Catamarca,Bicameral,Diputados,Mercado Jaimes,Verónica,Frente de Todos,2019-2023,F
Catamarca,Bicameral,Diputados,Mascheroni,Maximiliano,Frente de Todos,2021-2025,M
Catamarca,Bicameral,Diputados,Marsilli,Carlos,Unión Cívica Radical,2015-2021,M
Catamarca,Bicameral,Diputados,Marenco,Guillermo,Frente de Todos,2019-2023,M
Catamarca,Bicameral,Diputados,Marchioli,Alfredo,Unión Cívica Radical,2021-2025,M
Catamarca,Bicameral,Diputados,Lopez Rodriguez,Armando,Frente de Todos,2019-2023,M
Catamarca,Bicameral,Diputados,Herrera,Natalia,Unión Cívica Radical,2019-2023,F
Catamarca,Bicameral,Diputados,Aguirre,Gustavo,Frente de Todos,2021-2025,M
Catamarca,Bicameral,Diputados,Zalazar,Mónica,Frente de Todos,2015-2021,F
Catamarca,Bicameral,Diputados,Sosa,José Antonio,Unión Cívica Radical,2019-2023,M
Chaco,Unicameral,Legislatura,Insaurralde,Elda,Justicialista,2019-2023,F
Chaco,Unicameral,Legislatura,Lanzzarini,Sebastián Leonardo,UCR - Convergencia Social,2021-2025,M
Chaco,Unicameral,Legislatura,Slimel,Nicolás,Justicialista,2019-2023,M
Chaco,Unicameral,Legislatura,Schwartz,Rodolfo,Partido del Trabajo y del Pueblo,2019-2023,M
Chaco,Unicameral,Legislatura,Sager,Hugo Abel,Justicialista,2019-2023,M
Chaco,Unicameral,Legislatura,Quiros,Silvia Mariela,Justicialista,2021-2025,F
Chaco,Unicameral,Legislatura,Perez Otazu,Clara Anahí,Frente Integrador,2019-2023,F
Chaco,Unicameral,Legislatura,Peche,Carim Antonio,UCR - Convergencia Social,2021-2025,M
Chaco,Unicameral,Legislatura,Parra Moreno,Salvador Jaime,Frente Integrador,2019-2023,M
Chaco,Unicameral,Legislatura,Panzardi,Claudia Lorena,Justicialista,2019-2023,F
Chaco,Unicameral,Legislatura,Ojeda,Elba Gricelda,Justicialista,2021-2025,F
Chaco,Unicameral,Legislatura,Ocampo,Rodrigo Hernán,Justicialista,2021-2025,M
Chaco,Unicameral,Legislatura,Acosta,Roberto Marcelo,Justicialista,2019-2023,M
Chaco,Unicameral,Legislatura,Aradas,Alejandro,UCR - Convergencia Social,2021-2025,M
Chaco,Unicameral,Legislatura,Arkwright,Dorys Lilian,UCR - Convergencia Social,2021-2025,F
Chaco,Unicameral,Legislatura,Zdero,Leandro Cesar,UCR - Presidente Raúl Alfonsin UCR,2021-2025,M
Chaco,Unicameral,Legislatura,Ayala,Juan Carlos,Justicialista,2021-2025,M
Chaco,Unicameral,Legislatura,Ayala,Jessica Yanina,Justicialista,2019-2023,F
Chaco,Unicameral,Legislatura,Honcheruk,Atlanto,Justicialista,2021-2025,M
Chaco,Unicameral,Legislatura,Galeano,Zulma,UCR - Convergencia Social,2021-2025,F
Chaco,Unicameral,Legislatura,El Halli Obeid Halli,Luis Alberto,Pro CHACO,2019-2023,M
Chaco,Unicameral,Legislatura,Digiuni,Graciela Alicia,UCR - Somos Parte,2019-2023,F
Chaco,Unicameral,Legislatura,Cuesta,Lidia Elida,Justicialista,2019-2023,F
Chaco,Unicameral,Legislatura,Cubells,Teresa,Frente Grande,2019-2023,F
Chaco,Unicameral,Legislatura,Gutiérrez,Livio Edgardo,UCR - Convergencia Social,2019-2023,M
Chaco,Unicameral,Legislatura,Charole,Andrea Anastacia,Justicialista,2021-2025,F
Chaco,Unicameral,Legislatura,Bacileff Ivanoff,Darío Augusto,Frente Integrador,2021-2025,M
Chaco,Unicameral,Legislatura,Corradi,Gustavo Silvio,UCR - Convergencia Social,2020-2023,M
Chaco,Unicameral,Legislatura,Benitez,Paola Andrea de las Mercedes,Justicialista,2021-2025,F
Chaco,Unicameral,Legislatura,Canteros Reiser,Andrea Silvina,UCR - Somos Parte,2021-2025,F
Chaco,Unicameral,Legislatura,Cardozo,Debora Soledad,UCR - Convergencia Social,2019-2023,F
Chaco,Unicameral,Legislatura,Bergia,Juan José,Nuevo Espacio de Participación,2021-2025,M
Chubut,Unicameral,Legislatura,Mantegna,Carlos Hugo,PJ - Frente de Todos,,M
Chubut,Unicameral,Legislatura,Goic,Tatiana,"Cultura, Educación y Trabajo",,F
Chubut,Unicameral,Legislatura,Eliceche,Carlos Tomas,Bloque Vision Peronista,,M
Chubut,Unicameral,Legislatura,Lopez,Anotnio,Integrando Chubut,,M
Chubut,Unicameral,Legislatura,Gimenez,José,Chubut Unido,,M
Chubut,Unicameral,Legislatura,Artero,Rossana,Chubut Unido,,F
Chubut,Unicameral,Legislatura,Lloyd Jones,Lila,Chubut Unido,,F
Chubut,Unicameral,Legislatura,Aguilera,Maria Andrea,UCR,,M
Chubut,Unicameral,Legislatura,Pagliaroni,Manuel,UCR,,M
Chubut,Unicameral,Legislatura,Williams,Rafael,PJ - Frente de Todos,,M
Chubut,Unicameral,Legislatura,Saso,Selva,PJ - Frente de Todos,,F
Chubut,Unicameral,Legislatura,Mansilla ,Mario Eduardo,PJ - Frente de Todos,,M
Chubut,Unicameral,Legislatura,Aranibar,Mariano,Chubut al frente,2019-2023,M
Chubut,Unicameral,Legislatura,Casanovas,Adriana Elizabeth,PJ - Frente de Todos,,F
Chubut,Unicameral,Legislatura,Williams,Claudia,Chubut al frente,2019-2023,F
Chubut,Unicameral,Legislatura,Nouveau,Pablo,Chubut al frente,,M
Chubut,Unicameral,Legislatura,Mongilardi,Emilio Jose,Chubut al frente,,M
Chubut,Unicameral,Legislatura,Ingram,Roddy,Chubut al frente,,M
Chubut,Unicameral,Legislatura,Gomez,Carlos,Chubut al frente,2019-2023,M
Chubut,Unicameral,Legislatura,Gabella,Xenia,Chubut al frente,2019-2023,F
Chubut,Unicameral,Legislatura,De Lucia,Gabriela,Chubut al frente,2019-2023,F
Chubut,Unicameral,Legislatura,Cigudosa,Graciela del Valle,Chubut al frente,2019-2023,F
Chubut,Unicameral,Legislatura,Catia,María Magdalena,Chubut al frente,,F
Chubut,Unicameral,Legislatura,Antin,Miguel,Chubut al frente,2020-2023,M
Chubut,Unicameral,Legislatura,Anden,Zulema,Chubut al frente,2019-2023,F
Chubut,Unicameral,Legislatura,Pais,Juan Horacio,Chubut al frente,2019-2023,M
Chubut,Unicameral,Legislatura,Baskvoc,Maria Belen,PJ - Frente de Todos,,F
Chubut,Unicameral,Legislatura,Chiquichano,Tirso,Chubut Unido,,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Zago,Oscar,La Libertad Avanza,2021-2025,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Weck,Diego,UCR / Evolución,2019-2023,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Guouman,Marcelo Alejandro,UCR / Evolución,2019-2023,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,González  Estevarena,María Luisa,Vamos Juntos,2021-2025,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Garrido,Estebán,Vamos Juntos,2019-2023,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,García Moritán,Roberto,Republicanos Unidos,2021-2025,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,García De García Vilas,Diego Mariano,Vamos Juntos,2019-2023,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Fleitas,Rebeca,La Libertad Avanza,2021-2025,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Fidel,Natalia,Vamos Juntos,2019-2023,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Ferreño,Claudio Américo,Frente de Todos,2019-2023,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Ferrero,María Cecilia,Vamos Juntos,2019-2023,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Ferrario,Emmanuel,Vamos Juntos,2021-2025,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Fernandez,Ofelia,Frente de Todos,2019-2023,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Estebarena,Carolina,Vamos Juntos,2019-2023,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Iañez,Berenice,Frente de Todos,2021-2025,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Del Sol,Daniel Eduardo,Vamos Juntos,2019-2023,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,De Las Casas,Mercedes,Vamos Juntos,2019-2023,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Maia,Daer,Frente de Todos,2021-2025,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Cortina,Roy,Partido Socialista,2019-2023,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Casielles,Eugenio,Consenso Federal,2019-2023,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Campora,Lucía,Frente de Todos,2019-2023,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Bou Pérez,Ana María,Vamos Juntos,2019-2023,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Bielli,María,Frente de Todos,2019-2023,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Barry,Alejandrina,Frente de Izquierda - Unida,2021-2025,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Barreto,Jessica,Partido Socialista,2021-2025,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Arenaza,Juan Pablo,Frente de Todos,2021-2025,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Andrade,Javier,Frente de Todos,2019-2023,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Amor,Alejandro,Frente de Todos,2021-2025,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Del Gaiso,Juan Facundo,Vamos Juntos,2019-2023,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Kienast,Marina,Republicanos Unidos,2021-2025,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Barroetaveña,Matías,Frente de Todos,2019-2023,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,López,Matías Damián,Vamos Juntos,2019-2023,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Lapeña,Lucio,UCR / Evolución,2021-2025,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Vitali,Franco,Frente de Todos,2021-2025,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Vischi,María Patricia,UCR / Evolución,2019-2023,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Villafruela,Gimena,Vamos Juntos,2019-2023,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Velasco,Laura,Frente de Todos,2019-2023,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Valdés,Juan Manuel,Frente de Todos,2021-2025,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Tiesso,María Magdalena,Frente de Todos,2021-2025,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Solano,Gabriel,Frente de Izquierda de los Trabajadores,2021-2025,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Socías,Manuel Salvador,Frente de Todos,2019-2023,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Segura Rattagan,Cecilia,Frente de Todos,2019-2023,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Saifert,Leonardo,La Libertad Avanza,2021-2025,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Romero,Claudio Ariel,Vamos Juntos,2021-2025,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Romano,Lucía,Vamos Juntos,2019-2023,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Thourte,Manuela,UCR / Evolución,2019-2023,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Parry,María Inés,UCR / Evolución,2021-2025,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Ocampo,Martín,UCR / Evolución,2019-2023,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Nieto,Darío Hugo,Vamos Juntos,2021-2025,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Neira,Claudia,Frente de Todos,2019-2023,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Méndez,María Sol,Vamos Juntos,2021-2025,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Morresi,Claudio Alberto,Frente de Todos,2019-2023,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Montenegro,Victoria,Frente de Todos,2021-2025,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Montenegro,Lucía,La Libertad Avanza,2021-2025,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Mola,Gustavo,UCR / Evolución,2021-2025,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Modarelli,Juan Pablo,Frente de Todos,2021-2025,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Michielotto,Paola Vanesa,Vamos Juntos,2021-2025,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Martín,Amanda,Frente de Izquierda,2019-2023,F
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Reyes,Hernán,Vamos Juntos,2021-2025,M
Ciudad Autónoma de Buenos Aires,Unicameral,Legislatura,Marra,Ramiro,La Libertad Avanza,2021-2025,M
Corrientes,Bicameral,Diputados,Centurión,Lucía Itatí,ElI - Encuentro,2021-2025,F
